UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 12:13 ?        00:00:00 /sbin/init splash
root           2       0  0 12:13 ?        00:00:00 [kthreadd]
root           3       2  0 12:13 ?        00:00:00 [rcu_gp]
root           4       2  0 12:13 ?        00:00:00 [rcu_par_gp]
root           5       2  0 12:13 ?        00:00:00 [slub_flushwq]
root           6       2  0 12:13 ?        00:00:00 [netns]
root           8       2  0 12:13 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 12:13 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 12:13 ?        00:00:00 [rcu_tasks_rude_]
root          12       2  0 12:13 ?        00:00:00 [rcu_tasks_trace]
root          13       2  0 12:13 ?        00:00:00 [ksoftirqd/0]
root          14       2  0 12:13 ?        00:00:00 [rcu_sched]
root          15       2  0 12:13 ?        00:00:00 [migration/0]
root          16       2  0 12:13 ?        00:00:00 [idle_inject/0]
root          18       2  0 12:13 ?        00:00:00 [cpuhp/0]
root          19       2  0 12:13 ?        00:00:00 [kdevtmpfs]
root          20       2  0 12:13 ?        00:00:00 [inet_frag_wq]
root          21       2  0 12:13 ?        00:00:00 [kauditd]
root          22       2  0 12:13 ?        00:00:00 [khungtaskd]
root          23       2  0 12:13 ?        00:00:00 [oom_reaper]
root          24       2  0 12:13 ?        00:00:00 [writeback]
root          25       2  0 12:13 ?        00:00:00 [kcompactd0]
root          26       2  0 12:13 ?        00:00:00 [ksmd]
root          27       2  0 12:13 ?        00:00:00 [khugepaged]
root          73       2  0 12:13 ?        00:00:00 [kintegrityd]
root          74       2  0 12:13 ?        00:00:00 [kblockd]
root          75       2  0 12:13 ?        00:00:00 [blkcg_punt_bio]
root          76       2  0 12:13 ?        00:00:00 [tpm_dev_wq]
root          77       2  0 12:13 ?        00:00:00 [ata_sff]
root          78       2  0 12:13 ?        00:00:00 [md]
root          79       2  0 12:13 ?        00:00:00 [edac-poller]
root          80       2  0 12:13 ?        00:00:00 [devfreq_wq]
root          81       2  0 12:13 ?        00:00:00 [watchdogd]
root          83       2  0 12:13 ?        00:00:00 [kworker/0:1H-kblockd]
root          85       2  0 12:13 ?        00:00:00 [kswapd0]
root          86       2  0 12:13 ?        00:00:00 [ecryptfs-kthrea]
root          88       2  0 12:13 ?        00:00:00 [kthrotld]
root          89       2  0 12:13 ?        00:00:00 [acpi_thermal_pm]
root          91       2  0 12:13 ?        00:00:00 [vfio-irqfd-clea]
root          92       2  0 12:13 ?        00:00:00 [mld]
root          93       2  0 12:13 ?        00:00:00 [ipv6_addrconf]
root          95       2  0 12:13 ?        00:00:00 [kworker/u2:3-events_unbound]
root         104       2  0 12:13 ?        00:00:00 [kstrp]
root         107       2  0 12:13 ?        00:00:00 [zswap-shrink]
root         108       2  0 12:13 ?        00:00:00 [kworker/u3:0]
root         113       2  0 12:13 ?        00:00:00 [charger_manager]
root         153       2  0 12:13 ?        00:00:00 [kworker/0:3-events]
root         154       2  0 12:13 ?        00:00:00 [scsi_eh_0]
root         155       2  0 12:13 ?        00:00:00 [scsi_tmf_0]
root         156       2  0 12:13 ?        00:00:00 [scsi_eh_1]
root         157       2  0 12:13 ?        00:00:00 [scsi_tmf_1]
root         179       2  0 12:13 ?        00:00:00 [jbd2/sda5-8]
root         180       2  0 12:13 ?        00:00:00 [ext4-rsv-conver]
root         220       1  0 12:13 ?        00:00:00 /lib/systemd/systemd-journald
root         242       2  0 12:13 ?        00:00:00 [kworker/0:4-events]
root         258       1  0 12:13 ?        00:00:00 /lib/systemd/systemd-udevd
root         295       2  0 12:13 ?        00:00:00 [cryptd]
root         297       2  0 12:13 ?        00:00:00 [kworker/u2:4-events_power_efficient]
systemd+     423       1  0 12:13 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+     424       1  0 12:13 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         456       1  0 12:13 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root         457       1  0 12:13 ?        00:00:00 /usr/sbin/acpid
root         458       1  0 12:13 ?        00:00:00 /usr/sbin/anacron -d -q -s
avahi        462       1  0 12:13 ?        00:00:00 avahi-daemon: running [michael-VirtualBox.local]
root         463       1  0 12:13 ?        00:00:00 /usr/sbin/cron -f
root         466       1  0 12:13 ?        00:00:00 /usr/sbin/cupsd -l
message+     467       1  0 12:13 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         468       1  0 12:13 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         479       1  0 12:13 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         482       1  0 12:13 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
syslog       488       1  0 12:13 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         495       1  0 12:13 ?        00:00:00 /usr/lib/snapd/snapd
root         500       1  0 12:13 ?        00:00:00 /usr/libexec/switcheroo-control
root         507       1  0 12:13 ?        00:00:00 /lib/systemd/systemd-logind
root         508       1  0 12:13 ?        00:00:00 /usr/lib/udisks2/udisksd
root         509       1  0 12:13 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        526     462  0 12:13 ?        00:00:00 avahi-daemon: chroot helper
root         538       1  0 12:13 ?        00:00:00 /usr/sbin/ModemManager
root         542       1  0 12:13 ?        00:00:00 /usr/sbin/cups-browsed
